Router,CMBA
Publisher1,0.17275396102956925
Publisher2,0.17275396102956925
Router1,0.03233994266602962
Router10,0.22793105094674249
Router11,0.22793105094674249
Router12,0.2356246611734777
Router13,0.2723758967520219
Router14,0.2723758967520219
Router15,0.2823924449782318
Router16,0.31417884646498173
Router17,0.31417884646498173
Router18,0.32784459849079695
Router19,0.35521723373773173
Router2,0.03233994266602962
Router20,0.35521723373773173
Router21,0.3753334751506376
Router22,0.3984950868467938
Router23,0.3984950868467938
Router24,0.43266493974179765
Router25,0.45160466594920556
Router26,0.45160466594920556
Router27,0.7170552248677249
Router3,0.0364374416358729
Router4,0.12127283648799918
Router5,0.12127283648799918
Router6,0.12622701600408764
Router7,0.17883460158895392
Router8,0.17883460158895392
Router9,0.1849359943809143
