Router,Degree
Publisher1,0.03571428571428571
Publisher2,0.03571428571428571
Router1,0.03571428571428571
Router10,0.07142857142857142
Router11,0.07142857142857142
Router12,0.07142857142857142
Router13,0.07142857142857142
Router14,0.07142857142857142
Router15,0.07142857142857142
Router16,0.07142857142857142
Router17,0.07142857142857142
Router18,0.07142857142857142
Router19,0.07142857142857142
Router2,0.03571428571428571
Router20,0.07142857142857142
Router21,0.07142857142857142
Router22,0.07142857142857142
Router23,0.07142857142857142
Router24,0.07142857142857142
Router25,0.07142857142857142
Router26,0.07142857142857142
Router27,0.17857142857142858
Router3,0.03571428571428571
Router4,0.07142857142857142
Router5,0.07142857142857142
Router6,0.07142857142857142
Router7,0.07142857142857142
Router8,0.07142857142857142
Router9,0.07142857142857142
